Condition,PLV,Subject,Pair
Intra,0.147256223611192,4,1
Intra,0.149707816571311,5,1
Intra,0.164809870904335,5,2
Intra,0.161838302965024,5,3
Intra,0.158016007069208,5,4
Intra,0.160639533873758,5,5
Intra,0.167225540792952,11,1
Intra,0.168061590524485,11,2
Intra,0.16861888967504,11,3
Intra,0.170422537546331,11,4
Intra,0.189179228186384,12,1
Intra,0.186960526055532,12,2
Intra,0.18659436064107,12,3
Intra,0.198442696948619,12,4
Intra,0.186674268411227,12,5
Intra,0.18083446527487,12,6
Intra,0.203616726226619,12,7
Intra,0.173397632042401,12,8
Intra,0.187008363829794,12,9
Intra,0.161638426684684,16,1
Intra,0.161901882010722,16,2
Intra,0.155372551811728,16,3
Inter,0.211022339044132,16,1
Inter,0.208340616635359,16,2
Inter,0.18312801794425,16,3
Inter,0.177742559085695,16,4
Inter,0.183136648571328,16,5
Inter,0.185268891105698,16,6
Inter,0.18955039275595,16,7
Inter,0.175559073709697,16,8
Inter,0.187851059527623,16,9
Inter,0.181613871006911,16,10
Inter,0.196574315548998,16,11
Inter,0.184183334442128,16,12
Inter,0.185355482794748,16,13
Inter,0.181524373928099,16,14
Inter,0.157413416955599,19,1
Inter,0.152953618498273,19,2
Inter,0.144680500116023,20,1
Inter,0.154607906349566,20,2
Inter,0.231261130877096,23,1
Inter,0.223615704282316,23,2
Inter,0.170244410247036,25,1
Inter,0.194643527976507,25,2
Inter,0.185109193214662,1,1
Inter,0.179559429938039,1,2
Inter,0.164258065508036,1,3
Inter,0.167583464070923,2,1
Inter,0.15183136656372,2,2
Inter,0.145633919307113,2,3
Inter,0.150313884152654,2,4
Inter,0.173706575244728,2,5
Inter,0.168800897670807,2,6
Inter,0.153048033995151,2,7
Inter,0.160605194550161,2,8
Inter,0.177124423084278,2,9
Inter,0.155507261922794,2,10
Inter,0.174869717047622,2,11
Inter,0.163495190803036,2,12
Inter,0.156028693521187,2,13
Inter,0.160380309046144,2,14
Inter,0.15831942607077,2,15
Inter,0.149705575505746,2,16
Inter,0.163062173341959,2,17
Inter,0.152074841820256,2,18
Inter,0.164146357165023,2,19
Inter,0.168738163330454,2,20
Inter,0.152599003070444,2,21
Inter,0.192648457248979,2,22
Inter,0.16586496327545,2,23
Inter,0.163532347428578,2,24
Inter,0.154992252634893,2,25
Inter,0.161241769757912,2,26
Inter,0.150901814533288,2,27
Inter,0.164549153468556,2,28
Inter,0.156813773202202,2,29
Inter,0.163037003083363,2,30
Inter,0.17197558510592,2,31
Inter,0.171876700060875,2,32
Inter,0.171985348371533,2,33
Inter,0.165374069920516,2,34
Inter,0.163161773757371,2,35
Inter,0.149893246089231,2,36
Inter,0.167460876261202,2,37
Inter,0.1736171729977,2,38
Inter,0.161630085739142,2,39
Inter,0.149596381954592,2,40
Inter,0.164635323178155,2,41
Inter,0.164309266748918,2,42
Inter,0.151843127354953,2,43
Inter,0.172469947956564,2,44
Inter,0.165738865531469,2,45
Inter,0.152833133671253,2,46
Inter,0.166678627131902,2,47
Inter,0.168464021655225,2,48
Inter,0.158779007949774,2,49
Inter,0.170736557771859,2,50
Inter,0.156736293814997,2,51
Inter,0.175125081516611,2,52
Inter,0.173915142392164,2,53
Inter,0.166352304576599,2,54
Inter,0.178914680376114,2,55
Inter,0.164851495906311,2,56
Inter,0.149359262368801,2,57
Inter,0.160713367301086,2,58
Inter,0.162934749208095,2,59
Inter,0.147697417827189,2,60
Inter,0.170095085943417,2,61
Inter,0.148810444705831,2,62
Inter,0.179284761830564,2,63
Inter,0.171439175752247,2,64
Inter,0.160306147500586,2,65
Inter,0.16455451619741,2,66
Inter,0.170196445922965,2,67
Inter,0.154828836312507,2,68
Inter,0.147365124044318,2,69
Inter,0.151524556976284,2,70
Inter,0.159820374426136,2,71
Inter,0.153364739657111,2,72
Inter,0.151879522110363,2,73
Inter,0.164869039255502,2,74
Inter,0.167381081517797,2,75
Inter,0.164166077052605,2,76
Inter,0.166506701665209,2,77
Inter,0.179042062729762,2,78
Inter,0.163658722798985,2,79
Inter,0.164039335964563,2,80
Inter,0.156829262982288,2,81
Inter,0.167260769359321,2,82
Inter,0.156045099995896,2,83
Inter,0.156936738501618,2,84
Inter,0.172014779479459,2,85
Inter,0.166352527279109,2,86
Inter,0.165386398767552,2,87
Inter,0.182388488913274,2,88
Inter,0.179933739850854,2,89
Inter,0.159300829545618,2,90
Inter,0.162600250461451,2,91
Inter,0.154178132849583,2,92
Inter,0.159028247203377,2,93
Inter,0.147566139654928,2,94
Inter,0.157983389955859,2,95
Inter,0.159746635715434,2,96
Inter,0.155319198623526,2,97
Inter,0.154997230039263,2,98
Inter,0.182039073337651,2,99
Inter,0.172275022303588,3,1
Inter,0.179076760045373,3,2
Inter,0.175836967647385,3,3
Inter,0.194891766102969,3,4
Inter,0.182166983481423,3,5
Inter,0.175919462814134,3,6
Inter,0.171874982888386,3,7
Inter,0.172299139071825,3,8
Inter,0.158753256601281,3,9
Inter,0.171802956995336,3,10
Inter,0.164519298025337,3,11
Inter,0.170488682484704,3,12
Inter,0.165531479913029,3,13
Inter,0.161780556724205,3,14
Inter,0.168879755961154,3,15
Inter,0.167815880160094,3,16
Inter,0.168078572340909,3,17
Inter,0.173899208434083,3,18
Inter,0.156047353066013,3,19
Inter,0.158458105368002,3,20
Inter,0.165290127945947,3,21
Inter,0.171654570943585,3,22
