Condition,GammaAmp,Subject,Pair
Intra,0.00111950254287827,3,9
Intra,-0.00403604946584339,3,10
Intra,0.0161464054082932,3,11
Intra,0.0264318128016546,3,12
Intra,0.00414684745852807,3,13
Intra,-0.00184275298219424,3,14
Intra,0.0230317360517672,3,15
Intra,0.0176340995459085,3,16
Intra,0.0045292504331061,3,17
Intra,0.0121897691234757,3,18
Intra,0.0244345952133379,3,19
Intra,0.00983947726342088,3,20
Intra,0.00374798746565973,6,1
Intra,0.00287305576755475,6,2
Intra,-0.00470046663510978,6,3
Intra,0.00845451654066431,6,4
Intra,-0.0234207422824908,6,5
Intra,0.00253075266716291,6,6
Intra,0.0216156619951667,6,7
Intra,-0.00345219684062205,6,8
Intra,-0.0182656381488432,6,9
Intra,0.00778522060376241,6,10
Intra,-0.0131648317814922,6,11
Intra,0.0123112556645147,6,12
Intra,-0.0209524203310105,6,13
Intra,-7.23886581288602e-05,6,14
Intra,-0.0124876573855383,6,15
Intra,-0.0162442352211661,6,16
Intra,0.00962649664841582,6,17
Intra,0.00463607402166011,6,18
Intra,0.0126175152867355,6,19
Intra,0.0145989442628568,6,20
Intra,0.00274843532048966,6,21
Intra,0.0343404427546059,6,22
Intra,0.00330234564976195,6,23
Intra,0.0128443519033886,6,24
Intra,0.0137180604760333,6,25
Intra,0.0186441736179592,6,26
Intra,-0.0132620642107794,6,27
Intra,0.000996095432403126,6,28
Intra,-0.000924836795189481,6,29
Intra,0.0014699077252922,6,30
Intra,0.198185039714223,8,1
Intra,0.164800307949344,8,2
Intra,0.0292541242457025,8,3
Intra,0.0224627771807794,8,4
Intra,0.0491542444012679,8,5
Intra,0.0158042016860057,8,6
Intra,0.0484830076875712,8,7
Intra,0.0113850001219002,8,8
Intra,0.0104010258671093,9,1
Intra,-0.0188955527087192,9,2
Intra,0.0171865343442412,10,1
Intra,0.0137167168061038,10,2
Intra,0.00857248924308916,10,3
Intra,-0.000202776949001232,10,4
Intra,0.00425405461789092,10,5
Intra,0.00941629749346633,10,6
Intra,0.0065077953849215,10,7
Intra,0.0193228172088352,10,8
Intra,-0.0285094546848423,10,9
Intra,-0.0135524604342533,10,10
Intra,0.0162646755524096,10,11
Intra,-0.0173286020658753,10,12
Intra,-0.00244418012243128,10,13
Intra,0.00943894360209177,10,14
Intra,0.0340347265336463,10,15
Intra,-0.00653324268123223,10,16
Intra,0.000841748077264805,10,17
Intra,-0.0266160782985398,10,18
Intra,0.0431973142529729,10,19
Intra,-0.0101312379138242,10,20
Intra,-0.0083337516053445,10,21
Intra,0.00905526448122747,10,22
Intra,0.0154233991794496,10,23
Intra,0.0241574979868041,10,24
Intra,0.0125196134929355,10,25
Intra,0.00272246536702706,10,26
Intra,-0.00132888010451545,10,27
Intra,0.00482327812846423,10,28
Intra,0.00813777362501175,10,29
Intra,0.00291453160606475,10,30
Intra,0.014499598544838,10,31
Intra,0.0198126679659306,10,32
Intra,0.0104062017710759,10,33
Intra,0.00122397320865709,10,34
Intra,0.00599175239767045,10,35
Intra,0.0184748956207782,10,36
Intra,0.0106297549833566,10,37
Intra,0.00248779240495513,10,38
Intra,-0.0045589161946769,10,39
Intra,-0.00359541493583228,10,40
Intra,0.00923199843309944,10,41
Intra,0.00411233912310451,10,42
Intra,-0.0140661689378119,10,43
Intra,-0.00795006960876077,10,44
Intra,-0.00939537166829888,10,45
Intra,-0.00707010236109679,10,46
Intra,-0.00969070534180348,10,47
Intra,-0.00761956183587886,10,48
Intra,-0.0150684721209869,10,49
Intra,-0.00214046664967955,11,1
Intra,0.00381395376938276,11,2
Intra,0.0156044102856397,11,3
Intra,0.00954565015333194,11,4
Intra,-0.000991650029027393,11,5
Intra,-0.00846408678735247,12,1
Intra,0.00522222893514206,12,2
Intra,-0.00742893086130849,12,3
Intra,0.0275009783914892,12,4
Intra,0.00726267911319929,12,5
Intra,0.0137346971847267,12,6
Intra,-0.0236125493764649,12,7
Intra,-0.027712417738902,12,8
Intra,0.00227110010222462,12,9
Intra,-0.00067064005788886,12,10
Intra,0.0253160028014782,12,11
Intra,0.0339123504720174,12,12
Intra,0.00421703646648313,12,13
Intra,0.010588550363916,12,14
Intra,-0.00296310774169855,12,15
Intra,-0.00554898493360545,12,16
Intra,-0.00380673853801908,12,17
Intra,0.010436919199341,12,18
Intra,0.0168450699891402,12,19
Intra,0.0217200022595955,12,20
Intra,-0.00246579922051744,12,21
Intra,-0.00191379246395375,13,1
Intra,0.0161483703948632,13,2
Intra,0.0212625000269147,13,3
Intra,-0.00704029607080052,13,4
Intra,-0.00413361460021257,13,5
Intra,-0.00168066225052638,13,6
Intra,0.0126384882700212,13,7
Intra,0.00420689600482443,13,8
Intra,0.00326660148472083,13,9
Intra,-0.0203189302466365,13,10
Intra,-0.0064759351727528,13,11
Intra,-0.0122519538969792,13,12
Intra,0.00732394270260718,13,13
Intra,-0.00203485173250006,13,14
Intra,0.00648724388705358,13,15
Intra,0.0261416242570252,13,16
Intra,-0.00515457921226368,13,17
Intra,0.0278772194899414,13,18
Intra,-0.00357385214131196,13,19
Intra,0.0237190575107274,13,20
Intra,-0.000143244455356678,13,21
Intra,0.00981655497348279,13,22
Intra,0.00421048840663026,13,23
Intra,-0.0144526252471062,13,24
Intra,0.00946840225685205,13,25
Intra,0.00234572447372333,13,26
Intra,0.00989352042670542,13,27
Intra,0.00179379622406082,13,28
Intra,0.00214688417189891,13,29
Intra,0.0427610062066146,13,30
Intra,-0.00628443308036702,13,31
Intra,0.00258531545575218,13,32
Intra,0.00657982952977032,13,33
Intra,-0.00930692522915606,13,34
Intra,0.0166683710918751,13,35
Intra,-0.00778379007989779,13,36
Intra,-0.00414273705329125,13,37
Intra,-0.00793184927484905,13,38
Intra,0.00998059707018336,13,39
Intra,-0.00609485861216682,13,40
Intra,0.00717395070137241,13,41
Intra,0.00822067349866473,13,42
Intra,0.00950324871610177,13,43
Intra,0.0137286763771007,13,44
Intra,0.012459779039646,13,45
Intra,-0.00260259738349817,13,46
Intra,-6.26851502993468e-05,13,47
Intra,-0.00666885401023358,13,48
Intra,-0.0115327734767771,13,49
Intra,0.00183973107102801,13,50
Intra,0.0241036509065021,13,51
Intra,-0.0232779776120611,13,52
Intra,0.00504174877814659,13,53
Intra,-0.0110794926071868,13,54
Intra,-0.0226989946401692,17,1
Intra,-0.0108776622670221,17,2
Intra,0.0178334576185587,17,3
Intra,0.00335630334435634,17,4
Intra,-0.0145952702314811,17,5
Intra,0.00244875663578982,17,6
Intra,0.000808573623292146,17,7
Intra,-0.00947535243852643,17,8
Intra,0.0068758207922725,17,9
Intra,0.00904061847955868,17,10
Intra,0.0015171163877238,17,11
Intra,0.0459944896312948,17,12
Intra,-0.0266692202143693,18,1
Intra,0.00923207184701181,18,2
Intra,-0.00933781901165759,18,3
Intra,-0.0413286627209238,18,4
Intra,-0.00064435098530228,18,5
Intra,-0.00454733628435298,18,6
Intra,0.022002294347617,18,7
Intra,-0.0120961389529905,18,8
Intra,-0.0158701479851657,18,9
Intra,0.0251016252303291,18,10
Intra,-0.0118380862434909,18,11
Intra,-0.0144837857145895,18,12
Intra,-0.027333917907419,22,1
Intra,-0.00906013384689152,22,2
Intra,-0.00738630465852433,22,3
Intra,-0.0238737492292019,22,4
Intra,-0.0325792614189288,22,5
Intra,0.014885215052447,22,6
Intra,-0.01678762521672,22,7
Intra,0.0263600995063402,22,8
Intra,0.000201152804785555,22,9
Intra,0.0368425116184141,22,10
Intra,0.0193597309397876,22,11
Intra,0.0136046107331046,22,12
Intra,0.0469936272117316,22,13
