Condition,GammaAmp,Subject,Pair
Intra,0.304655706348367,25,14
Intra,0.326377204334751,25,15
Intra,0.307570966339432,25,16
Intra,0.281290971987181,25,17
Intra,0.306743322241722,25,18
Intra,0.33766984384193,25,19
Intra,0.338118675607299,25,20
Intra,0.263214925916678,25,21
Intra,0.301187645768856,25,22
Intra,0.321908960053329,25,23
Intra,0.333840317266733,25,24
Intra,0.304372846675216,25,25
Intra,0.336313926607689,6,1
Intra,0.234611480710072,6,2
Intra,0.327841578948506,6,3
Intra,0.341658185674024,6,4
Intra,0.253636551202428,6,5
Intra,0.271153613243799,6,6
Intra,0.319644987534453,6,7
Intra,0.285354013312198,6,8
Intra,0.318408257894001,6,9
Intra,0.3029356645397,10,1
Intra,0.295083104856373,10,2
Intra,0.295667786646502,10,3
Intra,0.194644188911417,10,4
Intra,0.320498880217852,10,5
Intra,0.292276113702958,10,6
Intra,0.291543507551819,10,7
Intra,0.289162183826318,20,1
Intra,0.320120098136944,20,2
Intra,0.334956122946348,20,3
Intra,0.313363015924451,20,4
Intra,0.316636069705827,20,5
Intra,0.32082925964887,20,6
Intra,0.265441995764435,25,1
Intra,0.295261839973331,25,2
Intra,0.273380137618997,25,3
Intra,0.326949334166539,25,4
Intra,0.335302445836666,25,5
Intra,0.227661454929567,3,1
Intra,0.188717320290239,3,2
Intra,0.189785226905509,3,3
Intra,0.190959651575556,3,4
Intra,0.195471964312233,3,5
Intra,0.147946779295795,3,6
Intra,0.177832955830713,3,7
Intra,0.194936052299149,3,8
Intra,0.157436925972947,3,9
Intra,0.19036279894495,3,10
Intra,0.32657750603392,3,11
Intra,0.224389798212499,3,12
Intra,0.22697933599086,3,13
Intra,0.19970227278159,3,14
Intra,0.219156291438871,3,15
Intra,0.252704570256136,3,16
Intra,0.223888793398169,3,17
Intra,0.273056688844883,3,18
Intra,0.300985257202893,3,19
Intra,0.243031089573477,3,20
Intra,0.24790978369254,6,1
Intra,0.264830804614734,6,2
Intra,0.313888559045536,6,3
Intra,0.316805364249211,6,4
Intra,0.332075741929807,6,5
Intra,0.2853172215798,6,6
Intra,0.302932411790048,6,7
Intra,0.335116522556755,6,8
Intra,0.318879585556919,6,9
Intra,0.321661031311405,6,10
Intra,0.251792829904979,6,11
Intra,0.266166772730197,6,12
Intra,0.290773629732396,6,13
Intra,0.313898547629867,6,14
Intra,0.282419790665484,6,15
Intra,0.279380689730773,6,16
Intra,0.297099567693362,6,17
Intra,0.329029532914501,6,18
Intra,0.295876913924086,6,19
Intra,0.337142937789435,6,20
Intra,0.266744064475667,6,21
