Condition,PLV,Subject,Pair
Intra,0.10365954117759,1,3
Intra,0.13273017119618,1,4
Intra,0.135814516513397,1,5
Intra,0.104478610652138,1,6
Intra,0.102634465519091,11,1
Intra,0.112661593218042,11,2
Intra,0.10914292583236,11,3
Intra,0.10542667111257,11,4
Intra,0.122968623305549,11,5
Intra,0.124101782805379,11,6
Intra,0.11153718254689,12,1
Intra,0.113237679626973,12,2
Intra,0.0960478336551802,17,1
Intra,0.121673226738772,2,1
Intra,0.100249938093903,2,2
Intra,0.0959258697981791,2,3
Intra,0.0916866798232423,15,1
Intra,0.0983564718565698,15,2
Intra,0.10369489614828,15,3
Intra,0.0982158146291733,2,1
Intra,0.0972609208791601,2,2
Intra,0.114220161386988,2,3
Intra,0.0988700805868347,4,1
Intra,0.103860057858991,4,2
Intra,0.101714960758374,4,3
Intra,0.102944724301764,4,4
Intra,0.0887839435357965,4,5
Intra,0.107071723178193,4,6
Intra,0.0941902314253252,4,7
Intra,0.0922345879146848,4,8
Intra,0.0938375632419253,4,9
Intra,0.105357877051036,4,10
Intra,0.106374586409342,4,11
Intra,0.111574340992008,4,12
Intra,0.120003603023222,5,1
Intra,0.111401586433149,5,2
Intra,0.138343598229034,5,3
Intra,0.109303225064781,5,4
Intra,0.128622306489837,5,5
Intra,0.10732016312446,5,6
Intra,0.13212774277459,9,1
Intra,0.14865512447542,9,2
Intra,0.0947396431762676,10,1
Intra,0.100148857629035,10,2
Intra,0.10887927355299,16,1
Intra,0.11183707836621,16,2
Intra,0.109252985384356,18,1
Intra,0.110228969173206,18,2
Intra,0.122223164566923,18,3
Intra,0.112592376715141,18,4
Intra,0.114506132911186,18,5
Intra,0.12041084720866,18,6
Intra,0.118169176770696,18,7
Intra,0.114301591315845,18,8
Intra,0.131298288313561,18,9
Intra,0.0998468435519006,2,1
Intra,0.11326370007801,2,2
Intra,0.0963659814412183,2,3
Intra,0.122860156515802,2,1
Intra,0.109272497525724,2,1
Intra,0.0998683524361132,14,1
Intra,0.107486461849412,2,1
Intra,0.0973352581075096,6,1
Intra,0.162944934133586,7,1
Intra,0.146658674590083,7,2
Intra,0.155391907445856,7,3
Intra,0.106188969247454,7,4
Intra,0.0887987435545525,7,5
Intra,0.099281394376911,7,6
Intra,0.0986590561121404,7,7
Intra,0.0920436577486225,7,8
Intra,0.103485879067315,7,9
Intra,0.114849919070212,7,10
Intra,0.113865923446738,7,11
Intra,0.108976420669003,7,12
Intra,0.111991319871506,7,13
Intra,0.115526891751714,7,14
Intra,0.121756836750251,7,15
Intra,0.102100980175832,7,16
Intra,0.100956347547119,11,1
Intra,0.103913321167534,11,2
Intra,0.10442917401046,11,3
Intra,0.084904293268615,11,4
Intra,0.120662598870106,11,5
Intra,0.189390209678913,11,6
Intra,0.0907124810294373,11,7
Intra,0.109553753795177,11,8
Intra,0.146139439873529,11,9
Intra,0.0775062022831281,11,10
Intra,0.123935625932564,11,11
Intra,0.495824264376636,11,12
Intra,0.107319956318294,11,13
Intra,0.116346144944324,11,14
Intra,0.156047538952007,11,15
Intra,0.11165229150616,11,16
Intra,0.0999731148943194,11,17
Intra,0.0855860140938568,11,18
Intra,0.0965624622340194,11,19
Intra,0.12291108577054,11,20
Intra,0.14829038003697,11,21
Intra,0.100819122676129,12,1
Intra,0.106417151828901,12,2
Inter,0.0980819590845044,2,1
Inter,0.0928113476863252,2,2
Inter,0.101337759426988,2,3
Inter,0.105645658542668,21,1
Inter,0.110395590228863,21,2
Inter,0.112139278480164,21,3
Inter,0.102912655043961,21,4
Inter,0.107079728410465,21,5
Inter,0.107926608110167,21,6
Inter,0.0917059066321129,21,7
Inter,0.110054042537241,21,8
Inter,0.11665259316392,24,1
Inter,0.103635821963984,24,2
Inter,0.10998054669731,24,3
Inter,0.11752337985871,27,1
Inter,0.0897378500634317,27,2
Inter,0.0866214719142862,27,3
Inter,0.119199763723807,27,4
Inter,0.108486125834983,27,5
